Medal,Name,Sex,NOC,Event,Sport,City,Team,Games,Year,Weight,Height,Age,Season,ID
Gold,TAKATO Naohisa,M,JPN,Men -60 kg,Judo,Tokyo,Japan,2020 Tokyo,2020,89,142,20,Summer,0
Silver,YANG Yung Wei,M,TPE,Men -60 kg,Judo,Tokyo,Taiwan,2020 Tokyo,2020,98,189,22,Summer,0
Bronze,MKHEIDZE Luka,M,FRA,Men -60 kg,Judo,Tokyo,France,2020 Tokyo,2020,65,144,25,Summer,0
Bronze,SMETOV Yeldos,M,KAZ,Men -60 kg,Judo,Tokyo,Kazakhstan,2020 Tokyo,2020,118,186,20,Summer,0
Gold,KRASNIQI Distria,W,KOS,Women -48 kg,Judo,Tokyo,Kosovo,2020 Tokyo,2020,71,157,20,Summer,0
Silver,TONAKI Funa,W,JPN,Women -48 kg,Judo,Tokyo,Japan,2020 Tokyo,2020,83,141,30,Summer,0
Bronze,BILODID Daria,W,UKR,Women -48 kg,Judo,Tokyo,Ukraine,2020 Tokyo,2020,71,161,18,Summer,0
Bronze,MUNKHBAT Urantsetseg,W,MGL,Women -48 kg,Judo,Tokyo,Mongolia,2020 Tokyo,2020,135,162,20,Summer,0
Gold,FOROUGHI Javad,M,IRI,10m Air Pistol Men,Shooting,Tokyo,Iran,2020 Tokyo,2020,86,200,20,Summer,0
Silver,MIKEC Damir,M,SRB,10m Air Pistol Men,Shooting,Tokyo,Serbia,2020 Tokyo,2020,133,172,28,Summer,0
Bronze,PANG Wei,M,CHN,10m Air Pistol Men,Shooting,Tokyo,China,2020 Tokyo,2020,125,155,26,Summer,0
Gold,YANG Qian,W,CHN,10m Air Rifle Women,Shooting,Tokyo,China,2020 Tokyo,2020,89,181,26,Summer,0
Silver,GALASHINA Anastasiia,W,ROC,10m Air Rifle Women,Shooting,Tokyo,,2020 Tokyo,2020,123,164,32,Summer,0
Bronze,CHRISTEN Nina,W,SUI,10m Air Rifle Women,Shooting,Tokyo,Switzerland,2020 Tokyo,2020,80,165,24,Summer,0
Gold,DELL'AQUILA Vito,M,ITA,Men -58kg,Taekwondo,Tokyo,Italy,2020 Tokyo,2020,85,205,20,Summer,0
Silver,JENDOUBI Mohamed Khalil,M,TUN,Men -58kg,Taekwondo,Tokyo,Tunisia,2020 Tokyo,2020,129,154,31,Summer,0
Bronze,ARTAMONOV Mikhail,M,ROC,Men -58kg,Taekwondo,Tokyo,,2020 Tokyo,2020,148,142,18,Summer,0
Bronze,JANG Jun,M,KOR,Men -58kg,Taekwondo,Tokyo,South Korea,2020 Tokyo,2020,92,201,19,Summer,0
Gold,WONGPATTANAKIT Panipak,W,THA,Women -49kg,Taekwondo,Tokyo,Thailand,2020 Tokyo,2020,55,170,20,Summer,0
Silver,CEREZO IGLESIAS Adriana,W,ESP,Women -49kg,Taekwondo,Tokyo,Spain,2020 Tokyo,2020,76,155,29,Summer,0
Bronze,BOGDANOVIC Tijana,W,SRB,Women -49kg,Taekwondo,Tokyo,Serbia,2020 Tokyo,2020,127,170,19,Summer,0
Bronze,SEMBERG Abishag,W,ISR,Women -49kg,Taekwondo,Tokyo,Israel,2020 Tokyo,2020,80,178,19,Summer,0
Gold,HOU Zhihui,W,CHN,Women's 49kg,Weightlifting,Tokyo,China,2020 Tokyo,2020,66,202,33,Summer,0
Silver,MIRABAI Chanu Saikhom,W,IND,Women's 49kg,Weightlifting,Tokyo,India,2020 Tokyo,2020,95,163,27,Summer,0
Bronze,AISAH Windy Cantika,W,INA,Women's 49kg,Weightlifting,Tokyo,Indonesia,2020 Tokyo,2020,60,160,28,Summer,0
Gold,KANG Chaeyoung,W,KOR,Women's Team,Archery,Tokyo,South Korea,2020 Tokyo,2020,102,192,23,Summer,0
Gold,AN San,W,KOR,Women's Team,Archery,Tokyo,South Korea,2020 Tokyo,2020,144,142,26,Summer,0
Gold,JANG Minhee,W,KOR,Women's Team,Archery,Tokyo,South Korea,2020 Tokyo,2020,69,148,31,Summer,0
Silver,OSIPOVA Elena,W,ROC,Women's Team,Archery,Tokyo,,2020 Tokyo,2020,127,174,32,Summer,0
Silver,PEROVA Ksenia,W,ROC,Women's Team,Archery,Tokyo,,2020 Tokyo,2020,68,187,25,Summer,0
Silver,GOMBOEVA Svetlana,W,ROC,Women's Team,Archery,Tokyo,,2020 Tokyo,2020,115,189,28,Summer,0
Bronze,SCHWARZ Charline,W,GER,Women's Team,Archery,Tokyo,Germany,2020 Tokyo,2020,149,203,33,Summer,0
Bronze,UNRUH Lisa,W,GER,Women's Team,Archery,Tokyo,Germany,2020 Tokyo,2020,135,166,21,Summer,0
Bronze,KROPPEN Michelle,W,GER,Women's Team,Archery,Tokyo,Germany,2020 Tokyo,2020,51,152,32,Summer,0
Gold,KIESENHOFER Anna,W,AUT,Women's Road Race,Cycling,Tokyo,Austria,2020 Tokyo,2020,88,183,32,Summer,0
Silver,van VLEUTEN Annemiek,W,NED,Women's Road Race,Cycling,Tokyo,Netherlands,2020 Tokyo,2020,102,187,33,Summer,0
Bronze,LONGO BORGHINI Elisa,W,ITA,Women's Road Race,Cycling,Tokyo,Italy,2020 Tokyo,2020,112,173,22,Summer,0
Gold,WANG Han,W,CHN,Women's Synchronised 3m Springboard,Diving,Tokyo,China,2020 Tokyo,2020,127,150,30,Summer,0
Gold,SHI Tingmao,W,CHN,Women's Synchronised 3m Springboard,Diving,Tokyo,China,2020 Tokyo,2020,53,188,32,Summer,0
Silver,ABEL Jennifer,W,CAN,Women's Synchronised 3m Springboard,Diving,Tokyo,Canada,2020 Tokyo,2020,104,204,25,Summer,0
Silver,CITRINI BEAULIEU Melissa,W,CAN,Women's Synchronised 3m Springboard,Diving,Tokyo,Canada,2020 Tokyo,2020,137,173,27,Summer,0
Bronze,HENTSCHEL Lena,W,GER,Women's Synchronised 3m Springboard,Diving,Tokyo,Germany,2020 Tokyo,2020,78,189,33,Summer,0
Bronze,PUNZEL Tina,W,GER,Women's Synchronised 3m Springboard,Diving,Tokyo,Germany,2020 Tokyo,2020,80,199,32,Summer,0
Gold,CANNONE Romain,M,FRA,Men's &Eacute;p&eacute;e Individual,Fencing,Tokyo,France,2020 Tokyo,2020,83,184,33,Summer,0
Silver,SIKLOSI Gergely,M,HUN,Men's &Eacute;p&eacute;e Individual,Fencing,Tokyo,Hungary,2020 Tokyo,2020,50,204,32,Summer,0
Bronze,REIZLIN Igor,M,UKR,Men's &Eacute;p&eacute;e Individual,Fencing,Tokyo,Ukraine,2020 Tokyo,2020,83,166,30,Summer,0
Gold,KIEFER Lee,W,USA,Women's Foil Individual,Fencing,Tokyo,USA,2020 Tokyo,2020,100,205,31,Summer,0
Silver,DERIGLAZOVA Inna,W,ROC,Women's Foil Individual,Fencing,Tokyo,,2020 Tokyo,2020,134,206,23,Summer,0
Bronze,KOROBEYNIKOVA Larisa,W,ROC,Women's Foil Individual,Fencing,Tokyo,,2020 Tokyo,2020,98,159,27,Summer,0
Gold,ABE Hifumi,M,JPN,Men -66 kg,Judo,Tokyo,Japan,2020 Tokyo,2020,143,166,20,Summer,0
Silver,MARGVELASHVILI Vazha,M,GEO,Men -66 kg,Judo,Tokyo,Georgia,2020 Tokyo,2020,111,140,22,Summer,0
Bronze,AN Baul,M,KOR,Men -66 kg,Judo,Tokyo,South Korea,2020 Tokyo,2020,67,206,33,Summer,0
Bronze,CARGNIN Daniel,M,BRA,Men -66 kg,Judo,Tokyo,Brazil,2020 Tokyo,2020,121,171,29,Summer,0
Gold,ABE Uta,W,JPN,Women -52 kg,Judo,Tokyo,Japan,2020 Tokyo,2020,145,175,29,Summer,0
Silver,BUCHARD Amandine,W,FRA,Women -52 kg,Judo,Tokyo,France,2020 Tokyo,2020,89,187,18,Summer,0
Bronze,GILES Chelsie,W,GBR,Women -52 kg,Judo,Tokyo,UK,2020 Tokyo,2020,99,208,29,Summer,0
Bronze,GIUFFRIDA Odette,W,ITA,Women -52 kg,Judo,Tokyo,Italy,2020 Tokyo,2020,150,175,32,Summer,0
Gold,BATSARASHKINA Vitalina,W,ROC,10m Air Pistol Women,Shooting,Tokyo,,2020 Tokyo,2020,132,175,22,Summer,0
Silver,KOSTADINOVA Antoaneta,W,BUL,10m Air Pistol Women,Shooting,Tokyo,Bulgaria,2020 Tokyo,2020,140,155,21,Summer,0
Bronze,JIANG Ranxin,W,CHN,10m Air Pistol Women,Shooting,Tokyo,China,2020 Tokyo,2020,89,159,18,Summer,0
Gold,SHANER William,M,USA,10m Air Rifle Men,Shooting,Tokyo,USA,2020 Tokyo,2020,78,194,20,Summer,0
Silver,SHENG Lihao,M,CHN,10m Air Rifle Men,Shooting,Tokyo,China,2020 Tokyo,2020,148,206,21,Summer,0
Bronze,YANG Haoran,M,CHN,10m Air Rifle Men,Shooting,Tokyo,China,2020 Tokyo,2020,77,157,33,Summer,0
Gold,HORIGOME Yuto,M,JPN,Men's Street,Skateboarding,Tokyo,Japan,2020 Tokyo,2020,114,169,32,Summer,0
Silver,HOEFLER Kelvin,M,BRA,Men's Street,Skateboarding,Tokyo,Brazil,2020 Tokyo,2020,140,142,33,Summer,0
Bronze,EATON Jagger,M,USA,Men's Street,Skateboarding,Tokyo,USA,2020 Tokyo,2020,66,169,29,Summer,0
Gold,HAFNAOUI Ahmed,M,TUN,Men's 400m Freestyle,Swimming,Tokyo,Tunisia,2020 Tokyo,2020,99,198,29,Summer,0
Silver,McLOUGHLIN Jack,M,AUS,Men's 400m Freestyle,Swimming,Tokyo,Australia,2020 Tokyo,2020,83,152,28,Summer,0
Bronze,SMITH Kieran,M,USA,Men's 400m Freestyle,Swimming,Tokyo,USA,2020 Tokyo,2020,74,146,21,Summer,0
Gold,KALISZ Chase,M,USA,Men's 400m Individual Medley,Swimming,Tokyo,USA,2020 Tokyo,2020,96,199,20,Summer,0
Silver,LITHERLAND Jay,M,USA,Men's 400m Individual Medley,Swimming,Tokyo,USA,2020 Tokyo,2020,134,183,31,Summer,0
Bronze,SMITH Brendon,M,AUS,Men's 400m Individual Medley,Swimming,Tokyo,Australia,2020 Tokyo,2020,145,194,18,Summer,0
Gold,CAMPBELL Cate,W,AUS,Women's 4 x 100m Freestyle Relay,Swimming,Tokyo,Australia,2020 Tokyo,2020,81,160,32,Summer,0
Gold,CAMPBELL Bronte,W,AUS,Women's 4 x 100m Freestyle Relay,Swimming,Tokyo,Australia,2020 Tokyo,2020,137,164,33,Summer,0
Gold,McKEON Emma,W,AUS,Women's 4 x 100m Freestyle Relay,Swimming,Tokyo,Australia,2020 Tokyo,2020,141,147,23,Summer,0
Gold,WILSON Madison,W,AUS,Women's 4 x 100m Freestyle Relay,Swimming,Tokyo,Australia,2020 Tokyo,2020,119,193,25,Summer,0
Gold,O'CALLAGHAN Mollie,W,AUS,Women's 4 x 100m Freestyle Relay,Swimming,Tokyo,Australia,2020 Tokyo,2020,128,183,28,Summer,0
Gold,HARRIS Meg,W,AUS,Women's 4 x 100m Freestyle Relay,Swimming,Tokyo,Australia,2020 Tokyo,2020,116,146,22,Summer,0
Silver,OLEKSIAK Penny,W,CAN,Women's 4 x 100m Freestyle Relay,Swimming,Tokyo,Canada,2020 Tokyo,2020,53,143,24,Summer,0
Silver,SMITH Rebecca,W,CAN,Women's 4 x 100m Freestyle Relay,Swimming,Tokyo,Canada,2020 Tokyo,2020,51,141,21,Summer,0
Silver,SANCHEZ Kayla,W,CAN,Women's 4 x 100m Freestyle Relay,Swimming,Tokyo,Canada,2020 Tokyo,2020,50,190,28,Summer,0
Silver,MACNEIL Margaret,W,CAN,Women's 4 x 100m Freestyle Relay,Swimming,Tokyo,Canada,2020 Tokyo,2020,122,192,34,Summer,0
Silver,RUCK Taylor,W,CAN,Women's 4 x 100m Freestyle Relay,Swimming,Tokyo,Canada,2020 Tokyo,2020,130,188,31,Summer,0
Bronze,BROWN Erika,W,USA,Women's 4 x 100m Freestyle Relay,Swimming,Tokyo,USA,2020 Tokyo,2020,50,179,29,Summer,0
Bronze,WEITZEIL Abbey,W,USA,Women's 4 x 100m Freestyle Relay,Swimming,Tokyo,USA,2020 Tokyo,2020,65,162,34,Summer,0
Bronze,de LOOF Catie,W,USA,Women's 4 x 100m Freestyle Relay,Swimming,Tokyo,USA,2020 Tokyo,2020,100,171,29,Summer,0
Bronze,SCHMITT Allison,W,USA,Women's 4 x 100m Freestyle Relay,Swimming,Tokyo,USA,2020 Tokyo,2020,51,168,30,Summer,0
Bronze,HINDS Natalie,W,USA,Women's 4 x 100m Freestyle Relay,Swimming,Tokyo,USA,2020 Tokyo,2020,59,167,28,Summer,0
Bronze,SMOLIGA Olivia,W,USA,Women's 4 x 100m Freestyle Relay,Swimming,Tokyo,USA,2020 Tokyo,2020,59,158,18,Summer,0
Bronze,MANUEL Simone,W,USA,Women's 4 x 100m Freestyle Relay,Swimming,Tokyo,USA,2020 Tokyo,2020,93,149,18,Summer,0
Gold,OHASHI Yui,W,JPN,Women's 400m Individual Medley,Swimming,Tokyo,Japan,2020 Tokyo,2020,55,154,33,Summer,0
Silver,WEYANT Emma,W,USA,Women's 400m Individual Medley,Swimming,Tokyo,USA,2020 Tokyo,2020,52,147,30,Summer,0
Bronze,FLICKINGER Hali,W,USA,Women's 400m Individual Medley,Swimming,Tokyo,USA,2020 Tokyo,2020,149,167,18,Summer,0
Gold,RASHITOV Ulugbek,M,UZB,Men -68kg,Taekwondo,Tokyo,Uzbekistan,2020 Tokyo,2020,80,185,30,Summer,0
Silver,SINDEN Bradly,M,GBR,Men -68kg,Taekwondo,Tokyo,UK,2020 Tokyo,2020,65,176,34,Summer,0
Bronze,RECBER Hakan,M,TUR,Men -68kg,Taekwondo,Tokyo,Turkey,2020 Tokyo,2020,122,199,27,Summer,0
Bronze,ZHAO Shuai,M,CHN,Men -68kg,Taekwondo,Tokyo,China,2020 Tokyo,2020,120,191,19,Summer,0
Gold,ZOLOTIC Anastasija,W,USA,Women -57kg,Taekwondo,Tokyo,USA,2020 Tokyo,2020,107,194,24,Summer,0
Silver,MININA Tatiana,W,ROC,Women -57kg,Taekwondo,Tokyo,,2020 Tokyo,2020,119,199,19,Summer,0
Bronze,LO Chia-Ling,W,TPE,Women -57kg,Taekwondo,Tokyo,Taiwan,2020 Tokyo,2020,116,141,27,Summer,0
Bronze,ILGUN Hatice Kubra,W,TUR,Women -57kg,Taekwondo,Tokyo,Turkey,2020 Tokyo,2020,133,194,27,Summer,0
Gold,LI Fabin,M,CHN,Men's 61kg,Weightlifting,Tokyo,China,2020 Tokyo,2020,120,205,23,Summer,0
Silver,IRAWAN Eko Yuli,M,INA,Men's 61kg,Weightlifting,Tokyo,Indonesia,2020 Tokyo,2020,106,182,30,Summer,0
Bronze,SON Igor,M,KAZ,Men's 61kg,Weightlifting,Tokyo,Kazakhstan,2020 Tokyo,2020,150,151,30,Summer,0
Gold,CHEN Lijun,M,CHN,Men's 67kg,Weightlifting,Tokyo,China,2020 Tokyo,2020,84,191,24,Summer,0
Silver,MOSQUERA LOZANO Luis Javier,M,COL,Men's 67kg,Weightlifting,Tokyo,Colombia,2020 Tokyo,2020,110,143,33,Summer,0
Bronze,ZANNI Mirko,M,ITA,Men's 67kg,Weightlifting,Tokyo,Italy,2020 Tokyo,2020,50,179,20,Summer,0
Gold,KIM Je Deok,M,KOR,Men's Team,Archery,Tokyo,South Korea,2020 Tokyo,2020,55,156,30,Summer,0
Gold,OH Jinhyek,M,KOR,Men's Team,Archery,Tokyo,South Korea,2020 Tokyo,2020,101,156,23,Summer,0
Gold,KIM Woojin,M,KOR,Men's Team,Archery,Tokyo,South Korea,2020 Tokyo,2020,127,155,22,Summer,0
Silver,TANG Chih-Chun,M,TPE,Men's Team,Archery,Tokyo,Taiwan,2020 Tokyo,2020,94,169,28,Summer,0
Silver,WEI Chun-Heng,M,TPE,Men's Team,Archery,Tokyo,Taiwan,2020 Tokyo,2020,87,191,27,Summer,0
Silver,DENG Yu-Cheng,M,TPE,Men's Team,Archery,Tokyo,Taiwan,2020 Tokyo,2020,82,182,23,Summer,0
Bronze,FURUKAWA Takaharu,M,JPN,Men's Team,Archery,Tokyo,Japan,2020 Tokyo,2020,64,141,18,Summer,0
Bronze,KAWATA Yuki,M,JPN,Men's Team,Archery,Tokyo,Japan,2020 Tokyo,2020,134,148,23,Summer,0
Bronze,MUTO Hiroki,M,JPN,Men's Team,Archery,Tokyo,Japan,2020 Tokyo,2020,114,143,24,Summer,0
Gold,ABLIAZIN Denis,M,ROC,Men's Team,Gymnastics,Tokyo,,2020 Tokyo,2020,56,164,22,Summer,0
Gold,BELYAVSKIY David,M,ROC,Men's Team,Gymnastics,Tokyo,,2020 Tokyo,2020,90,202,25,Summer,0
Gold,DALALOYAN Artur,M,ROC,Men's Team,Gymnastics,Tokyo,,2020 Tokyo,2020,112,176,30,Summer,0
Gold,NAGORNYY Nikita,M,ROC,Men's Team,Gymnastics,Tokyo,,2020 Tokyo,2020,116,190,27,Summer,0
Silver,KAYA Kazuma,M,JPN,Men's Team,Gymnastics,Tokyo,Japan,2020 Tokyo,2020,75,152,33,Summer,0
Silver,TANIGAWA Wataru,M,JPN,Men's Team,Gymnastics,Tokyo,Japan,2020 Tokyo,2020,72,163,22,Summer,0
Silver,KITAZONO Takeru,M,JPN,Men's Team,Gymnastics,Tokyo,Japan,2020 Tokyo,2020,81,152,34,Summer,0
Silver,HASHIMOTO Daiki,M,JPN,Men's Team,Gymnastics,Tokyo,Japan,2020 Tokyo,2020,74,148,25,Summer,0
Bronze,LIN Chaopan,M,CHN,Men's Team,Gymnastics,Tokyo,China,2020 Tokyo,2020,60,143,28,Summer,0
Bronze,SUN Wei,M,CHN,Men's Team,Gymnastics,Tokyo,China,2020 Tokyo,2020,78,148,18,Summer,0
Bronze,XIAO Ruoteng,M,CHN,Men's Team,Gymnastics,Tokyo,China,2020 Tokyo,2020,50,184,30,Summer,0
Bronze,ZOU Jingyuan,M,CHN,Men's Team,Gymnastics,Tokyo,China,2020 Tokyo,2020,77,209,22,Summer,0
Gold,SAVSEK Benjamin,M,SLO,Men's Canoe,Canoeing,Tokyo,Slovenia,2020 Tokyo,2020,68,174,31,Summer,0
Silver,ROHAN Lukas,M,CZE,Men's Canoe,Canoeing,Tokyo,Czech Republic,2020 Tokyo,2020,140,188,21,Summer,0
Bronze,TASIADIS Sideris,M,GER,Men's Canoe,Canoeing,Tokyo,Germany,2020 Tokyo,2020,59,195,34,Summer,0
Gold,PIDCOCK Thomas,M,GBR,Men's Cross-country,Cycling Mountain Bike,Tokyo,UK,2020 Tokyo,2020,54,184,34,Summer,0
Silver,FLUECKIGER Mathias,M,SUI,Men's Cross-country,Cycling Mountain Bike,Tokyo,Switzerland,2020 Tokyo,2020,106,188,20,Summer,0
Bronze,VALERO SERRANO David,M,ESP,Men's Cross-country,Cycling Mountain Bike,Tokyo,Spain,2020 Tokyo,2020,73,192,34,Summer,0
Gold,DALEY Thomas,M,GBR,Men's Synchronised 10m Platform,Diving,Tokyo,UK,2020 Tokyo,2020,75,205,27,Summer,0
Gold,LEE Matty,M,GBR,Men's Synchronised 10m Platform,Diving,Tokyo,UK,2020 Tokyo,2020,70,179,27,Summer,0
Silver,CAO Yuan,M,CHN,Men's Synchronised 10m Platform,Diving,Tokyo,China,2020 Tokyo,2020,96,148,20,Summer,0
Silver,CHEN Aisen,M,CHN,Men's Synchronised 10m Platform,Diving,Tokyo,China,2020 Tokyo,2020,79,202,20,Summer,0
Bronze,BONDAR Aleksandr,M,ROC,Men's Synchronised 10m Platform,Diving,Tokyo,,2020 Tokyo,2020,59,196,31,Summer,0
Bronze,MINIBAEV Viktor,M,ROC,Men's Synchronised 10m Platform,Diving,Tokyo,,2020 Tokyo,2020,147,166,24,Summer,0
Gold,CHEUNG Ka Long,M,HKG,Men's Foil Individual,Fencing,Tokyo,China,2020 Tokyo,2020,57,188,28,Summer,0
Silver,GAROZZO Daniele,M,ITA,Men's Foil Individual,Fencing,Tokyo,Italy,2020 Tokyo,2020,86,188,30,Summer,0
Bronze,CHOUPENITCH Alexander,M,CZE,Men's Foil Individual,Fencing,Tokyo,Czech Republic,2020 Tokyo,2020,110,208,27,Summer,0
Gold,POZDNIAKOVA Sofia,W,ROC,Women's Sabre Individual,Fencing,Tokyo,,2020 Tokyo,2020,80,165,18,Summer,0
Silver,VELIKAYA Sofya,W,ROC,Women's Sabre Individual,Fencing,Tokyo,,2020 Tokyo,2020,105,158,32,Summer,0
Bronze,BRUNET Manon,W,FRA,Women's Sabre Individual,Fencing,Tokyo,France,2020 Tokyo,2020,73,164,25,Summer,0
Gold,ONO Shohei,M,JPN,Men -73 kg,Judo,Tokyo,Japan,2020 Tokyo,2020,67,167,26,Summer,0
Silver,SHAVDATUASHVILI Lasha,M,GEO,Men -73 kg,Judo,Tokyo,Georgia,2020 Tokyo,2020,104,182,28,Summer,0
Bronze,AN Changrim,M,KOR,Men -73 kg,Judo,Tokyo,South Korea,2020 Tokyo,2020,75,182,33,Summer,0
Bronze,TSEND-OCHIR Tsogtbaatar,M,MGL,Men -73 kg,Judo,Tokyo,Mongolia,2020 Tokyo,2020,129,154,29,Summer,0
Gold,GJAKOVA Nora,W,KOS,Women -57 kg,Judo,Tokyo,Kosovo,2020 Tokyo,2020,90,164,21,Summer,0
Silver,CYSIQUE Sarah Leonie,W,FRA,Women -57 kg,Judo,Tokyo,France,2020 Tokyo,2020,103,170,24,Summer,0
Bronze,KLIMKAIT Jessica,W,CAN,Women -57 kg,Judo,Tokyo,Canada,2020 Tokyo,2020,74,190,30,Summer,0
Bronze,YOSHIDA Tsukasa,W,JPN,Women -57 kg,Judo,Tokyo,Japan,2020 Tokyo,2020,75,152,20,Summer,0
Gold,HANCOCK Vincent,M,USA,Skeet Men,Shooting,Tokyo,USA,2020 Tokyo,2020,68,201,31,Summer,0
Silver,HANSEN Jesper,M,DEN,Skeet Men,Shooting,Tokyo,Denmark,2020 Tokyo,2020,149,189,18,Summer,0
Bronze,ALRASHIDI Abdullah,M,KUW,Skeet Men,Shooting,Tokyo,Kuwait,2020 Tokyo,2020,109,174,23,Summer,0
Gold,ENGLISH Amber,W,USA,Skeet Women,Shooting,Tokyo,USA,2020 Tokyo,2020,95,178,29,Summer,0
Silver,BACOSI Diana,W,ITA,Skeet Women,Shooting,Tokyo,Italy,2020 Tokyo,2020,140,200,18,Summer,0
Bronze,WEI Meng,W,CHN,Skeet Women,Shooting,Tokyo,China,2020 Tokyo,2020,83,156,25,Summer,0
Gold,NISHIYA Momiji,W,JPN,Women's Street,Skateboarding,Tokyo,Japan,2020 Tokyo,2020,145,144,22,Summer,0
Silver,LEAL Rayssa,W,BRA,Women's Street,Skateboarding,Tokyo,Brazil,2020 Tokyo,2020,125,189,32,Summer,0
Bronze,NAKAYAMA Funa,W,JPN,Women's Street,Skateboarding,Tokyo,Japan,2020 Tokyo,2020,140,170,31,Summer,0
Gold,PEATY Adam,M,GBR,Men's 100m Breaststroke,Swimming,Tokyo,UK,2020 Tokyo,2020,78,205,27,Summer,0
Silver,KAMMINGA Arno,M,NED,Men's 100m Breaststroke,Swimming,Tokyo,Netherlands,2020 Tokyo,2020,112,164,30,Summer,0
Bronze,MARTINENGHI Nicolo,M,ITA,Men's 100m Breaststroke,Swimming,Tokyo,Italy,2020 Tokyo,2020,135,163,30,Summer,0
Gold,CURRY Brooks,M,USA,Men's 4 x 100m Freestyle Relay,Swimming,Tokyo,USA,2020 Tokyo,2020,79,171,27,Summer,0
Gold,DRESSEL Caeleb,M,USA,Men's 4 x 100m Freestyle Relay,Swimming,Tokyo,USA,2020 Tokyo,2020,99,184,19,Summer,0
Gold,BECKER Bowen,M,USA,Men's 4 x 100m Freestyle Relay,Swimming,Tokyo,USA,2020 Tokyo,2020,137,168,25,Summer,0
Gold,PIERONI Blake,M,USA,Men's 4 x 100m Freestyle Relay,Swimming,Tokyo,USA,2020 Tokyo,2020,140,184,23,Summer,0
Gold,APPLE Zach,M,USA,Men's 4 x 100m Freestyle Relay,Swimming,Tokyo,USA,2020 Tokyo,2020,128,204,29,Summer,0
Silver,CECCON Thomas,M,ITA,Men's 4 x 100m Freestyle Relay,Swimming,Tokyo,Italy,2020 Tokyo,2020,86,207,34,Summer,0
Silver,FRIGO Manuel,M,ITA,Men's 4 x 100m Freestyle Relay,Swimming,Tokyo,Italy,2020 Tokyo,2020,65,148,27,Summer,0
Silver,ZAZZERI Lorenzo,M,ITA,Men's 4 x 100m Freestyle Relay,Swimming,Tokyo,Italy,2020 Tokyo,2020,100,175,26,Summer,0
Silver,CONDORELLI Santo,M,ITA,Men's 4 x 100m Freestyle Relay,Swimming,Tokyo,Italy,2020 Tokyo,2020,96,157,26,Summer,0
Silver,MIRESSI Alessandro,M,ITA,Men's 4 x 100m Freestyle Relay,Swimming,Tokyo,Italy,2020 Tokyo,2020,97,208,20,Summer,0
Bronze,CHALMERS Kyle,M,AUS,Men's 4 x 100m Freestyle Relay,Swimming,Tokyo,Australia,2020 Tokyo,2020,59,150,34,Summer,0
Bronze,GRAHAM Alexander,M,AUS,Men's 4 x 100m Freestyle Relay,Swimming,Tokyo,Australia,2020 Tokyo,2020,97,198,20,Summer,0
Bronze,INCERTI Zac,M,AUS,Men's 4 x 100m Freestyle Relay,Swimming,Tokyo,Australia,2020 Tokyo,2020,96,147,21,Summer,0
Bronze,McEVOY Cameron,M,AUS,Men's 4 x 100m Freestyle Relay,Swimming,Tokyo,Australia,2020 Tokyo,2020,123,193,18,Summer,0
